udi,timestamp,machine_id,product_id,machine_type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,thermal_delta_k,power_w,hazard,dominant_mode,machine_failure,twf,hdf,pwf,osf,osp,tol,rnf
43,2025-05-14 18:00:00,CLC-06,M47042,M,299.6,309.9,1168,37.3,32,10.25,4568.2,0.0209,hdf,0,0,0,0,0,0,0,0
44,2025-05-15 00:00:00,PKR-09,L47043,L,299.0,309.6,2886,15.0,130,10.61,4540.1,0.9,osp,1,0,0,0,0,1,0,0
45,2025-05-15 06:00:00,BLR-03,M47044,M,299.3,307.4,1168,50.2,63,8.16,6137.0,0.8019,hdf,1,0,1,0,0,0,0,0
46,2025-05-15 12:00:00,FAN-07,M47045,M,297.9,306.4,1499,42.7,49,8.52,6708.3,0.0899,hdf,0,0,0,0,0,0,0,0
47,2025-05-15 18:00:00,CRS-08,L47046,L,298.0,308.6,1168,77.0,206,10.66,9418.1,0.9988,osf,1,0,0,1,1,0,1,0
48,2025-05-16 00:00:00,CRS-08,L47047,L,297.4,304.6,1168,54.7,169,7.22,6690.5,0.9509,hdf,1,0,1,0,0,0,0,0
49,2025-05-16 06:00:00,CLC-06,M47048,M,297.6,308.8,1652,45.0,23,11.22,7794.7,0.0254,tol,0,0,0,0,0,0,0,0
50,2025-05-16 12:00:00,PKR-09,L47049,L,297.0,305.2,2886,16.5,137,8.18,4989.9,0.8997,osp,0,0,0,0,0,1,0,0
51,2025-05-16 18:00:00,PKR-09,L47050,L,297.5,308.3,1480,68.4,102,10.84,10600.0,0.9886,pwf,1,0,0,1,0,0,1,0
52,2025-05-17 00:00:00,PKR-09,L47051,L,297.7,306.8,1332,45.1,76,9.11,6294.1,0.2387,hdf,1,0,0,0,0,0,0,0
53,2025-05-17 06:00:00,CML-05,M47052,M,298.7,309.8,1168,68.6,54,11.05,8395.2,0.8875,tol,1,0,0,0,0,0,1,0
54,2025-05-17 12:00:00,BLR-03,M47053,M,298.8,312.0,1509,43.4,64,13.21,6861.5,0.0164,tol,0,0,0,0,0,0,0,0
55,2025-05-17 18:00:00,BLR-03,M47054,M,298.4,306.1,1168,56.1,90,7.73,6864.3,0.9221,hdf,1,0,1,0,0,0,0,0
56,2025-05-18 00:00:00,FAN-07,M47055,M,298.3,309.0,1363,43.2,83,10.7,6164.2,0.0181,tol,0,0,0,0,0,0,0,0
57,2025-05-18 06:00:00,CRS-08,L47056,L,297.5,305.7,1422,38.9,59,8.19,5792.4,0.3408,hdf,0,0,0,0,0,0,0,0
58,2025-05-18 12:00:00,CRS-08,L47057,L,297.9,308.4,1168,37.2,45,10.43,4544.3,0.0161,hdf,0,0,0,0,0,0,0,0
59,2025-05-18 18:00:00,CRS-08,L47058,L,298.4,308.2,1361,43.2,7,9.79,6161.0,0.0497,hdf,0,0,0,0,0,0,0,0
60,2025-05-19 00:00:00,PKR-09,L47059,L,300.2,310.3,1168,45.7,108,10.13,5593.7,0.0477,tol,0,0,0,0,0,0,0,0
61,2025-05-19 06:00:00,CML-05,M47060,M,299.8,308.9,1168,52.7,44,9.09,6445.7,0.4272,hdf,0,0,0,0,0,0,0,0
62,2025-05-19 12:00:00,PKR-09,L47061,L,299.6,310.4,1419,43.4,165,10.78,6448.4,0.0283,tol,0,0,0,0,0,0,0,0
63,2025-05-19 18:00:00,PKR-09,L47062,L,299.2,307.8,2066,34.9,18,8.55,7553.4,0.0048,rnf,0,0,0,0,0,0,0,0
64,2025-05-20 00:00:00,FAN-07,M47063,M,299.4,310.7,1305,36.4,23,11.24,4973.9,0.006,rnf,0,0,0,0,0,0,0,0
65,2025-05-20 06:00:00,BLR-03,M47064,M,299.7,309.3,2100,25.4,42,9.59,5596.7,0.0041,rnf,0,0,0,0,0,0,0,0
66,2025-05-20 12:00:00,PKR-09,L47065,L,299.7,308.3,1168,58.3,27,8.6,7127.6,0.8316,tol,1,0,1,0,0,0,1,0
67,2025-05-20 18:00:00,PKR-09,L47066,L,300.5,312.1,2886,10.8,251,11.59,3270.7,0.9984,osp,1,1,0,1,0,1,0,0
68,2025-05-21 00:00:00,PKR-09,L47067,L,300.0,309.9,1168,27.5,188,9.93,3362.6,0.8329,pwf,1,0,0,1,0,0,0,0
69,2025-05-21 06:00:00,CRS-08,L47068,L,300.7,312.6,1279,43.0,63,11.91,5767.1,0.0151,tol,0,0,0,0,0,0,0,0
70,2025-05-21 12:00:00,CRS-08,L47069,L,301.0,312.2,1480,43.3,83,11.22,6718.4,0.0163,tol,0,0,0,0,0,0,0,0
71,2025-05-21 18:00:00,PKR-09,L47070,L,300.9,303.7,1578,38.7,90,2.75,6395.7,0.0276,hdf,0,0,0,0,0,0,0,0
72,2025-05-22 00:00:00,PKR-09,L47071,L,300.7,310.6,1439,31.3,45,9.92,4720.9,0.0164,hdf,0,0,0,0,0,0,0,0
73,2025-05-22 06:00:00,BLR-03,M47072,M,302.3,312.4,2466,29.3,23,10.12,7579.7,0.1502,osp,0,0,0,0,0,0,0,0
74,2025-05-22 12:00:00,PKR-09,L47073,L,301.6,313.1,1168,59.0,253,11.53,7218.1,0.9964,osf,1,1,0,0,1,0,1,0
75,2025-05-22 18:00:00,CRS-08,L47074,L,301.7,312.1,1544,45.2,143,10.44,7312.1,0.0287,tol,0,0,0,0,0,0,0,0
76,2025-05-23 00:00:00,PKR-09,L47075,L,301.1,311.3,2846,35.6,86,10.18,10600.0,0.9899,pwf,1,0,0,1,0,1,0,0
77,2025-05-23 06:00:00,CRS-08,L47076,L,302.2,312.0,1168,55.2,67,9.8,6755.8,0.4085,tol,0,0,0,0,0,0,0,0
78,2025-05-23 12:00:00,FAN-07,M47077,M,302.7,312.6,1565,35.5,62,9.95,5815.8,0.0058,rnf,0,0,0,0,0,0,0,0
79,2025-05-23 18:00:00,CRS-08,L47078,L,302.1,313.4,1377,44.7,214,11.3,6441.4,0.8013,twf,0,1,0,0,0,0,0,0
80,2025-05-24 00:00:00,BLR-03,M47079,M,302.3,312.3,1409,40.5,79,10.0,5974.7,0.0215,hdf,0,0,0,0,0,0,0,0
81,2025-05-24 06:00:00,FAN-07,M47080,M,302.3,311.9,2335,27.3,40,9.61,6668.8,0.0152,osp,0,0,0,0,0,0,0,0
82,2025-05-24 12:00:00,CRS-08,L47081,L,301.8,311.3,1568,38.0,118,9.44,6233.8,0.0095,rnf,0,0,0,0,0,0,0,0
83,2025-05-24 18:00:00,BLR-03,M47082,M,302.2,311.7,1168,46.5,72,9.45,5683.0,0.1497,hdf,0,0,0,0,0,0,0,0
84,2025-05-25 00:00:00,PKR-09,L47083,L,302.4,311.0,1168,38.2,50,8.6,4670.5,0.5805,hdf,1,0,1,0,0,0,0,0
85,2025-05-25 06:00:00,CRS-08,L47084,L,302.4,311.6,1743,36.4,33,9.25,6647.1,0.0053,rnf,0,0,0,0,0,0,0,0
86,2025-05-25 12:00:00,PKR-09,L47085,L,302.2,313.7,1392,38.1,28,11.5,5551.6,0.0063,rnf,0,0,0,0,0,0,0,0
87,2025-05-25 18:00:00,CML-05,M47086,M,302.4,312.2,1168,63.2,30,9.79,7733.4,0.83,tol,1,0,0,0,0,0,1,0
88,2025-05-26 00:00:00,PKR-09,L47087,L,302.4,313.1,2886,19.8,35,10.7,5991.7,0.8997,osp,1,0,0,0,0,1,0,0
89,2025-05-26 06:00:00,PKR-09,L47088,L,302.3,309.8,1659,41.5,158,7.52,7208.2,0.0177,tol,0,0,0,0,0,0,0,0
90,2025-05-26 12:00:00,CRS-08,L47089,L,301.7,312.3,2245,38.0,165,10.57,8932.3,0.2319,pwf,0,0,0,0,0,0,0,0
91,2025-05-26 18:00:00,CRS-08,L47090,L,302.7,312.6,2886,16.8,62,9.84,5084.3,0.8997,osp,0,0,0,0,0,1,0,0
92,2025-05-27 00:00:00,CML-05,M47091,M,301.9,311.4,2886,18.9,127,9.52,5712.8,0.8997,osp,1,0,0,0,0,1,0,0
93,2025-05-27 06:00:00,PKR-09,L47092,L,302.0,312.2,1178,47.3,76,10.18,5838.1,0.0629,tol,0,0,0,0,0,0,0,0
94,2025-05-27 12:00:00,PKR-09,L47093,L,301.7,311.2,1603,48.0,55,9.5,8053.2,0.0603,tol,0,0,0,0,0,0,0,0
95,2025-05-27 18:00:00,CRS-08,L47094,L,302.8,310.7,1168,42.0,94,7.88,5142.8,0.8423,hdf,0,0,1,0,0,0,0,0
96,2025-05-28 00:00:00,CML-05,M47095,M,302.0,312.0,1168,52.0,45,9.98,6362.7,0.2043,tol,0,0,0,0,0,0,0,0
97,2025-05-28 06:00:00,CRS-08,L47096,L,301.4,311.6,1168,45.7,71,10.24,5595.1,0.0429,tol,0,0,0,0,0,0,0,0
98,2025-05-28 12:00:00,PKR-09,L47097,L,300.7,310.3,1168,63.9,138,9.69,7819.2,0.8741,tol,1,0,0,0,0,0,1,0
99,2025-05-28 18:00:00,CRS-08,L47098,L,300.8,309.9,1488,34.0,117,9.03,5298.1,0.0493,hdf,0,0,0,0,0,0,0,0
100,2025-05-29 00:00:00,KLN-02,H47099,H,299.9,308.4,1429,49.3,120,8.53,7371.9,0.3102,hdf,0,0,0,0,0,0,0,0
101,2025-05-29 06:00:00,KLN-01,H47100,H,299.5,309.8,1168,45.5,58,10.22,5564.2,0.0416,tol,0,0,0,0,0,0,0,0
102,2025-05-29 12:00:00,CML-05,M47101,M,298.1,309.7,2886,3.0,79,11.61,906.7,0.99,pwf,1,0,0,1,0,1,0,0
103,2025-05-29 18:00:00,CRS-08,L47102,L,298.4,308.6,1884,22.7,76,10.2,4485.1,0.0088,pwf,0,0,0,0,0,0,0,0
104,2025-05-30 00:00:00,KLN-02,H47103,H,298.1,306.8,1764,17.7,118,8.62,3278.2,0.8496,pwf,1,0,0,1,0,0,0,0
105,2025-05-30 06:00:00,FAN-07,M47104,M,297.3,307.5,1749,45.5,78,10.23,8334.8,0.034,tol,0,0,0,0,0,0,0,0
106,2025-05-30 12:00:00,FAN-07,M47105,M,298.2,308.1,2062,20.0,158,9.95,4322.2,0.0197,pwf,0,0,0,0,0,0,0,0
107,2025-05-30 18:00:00,CRS-08,L47106,L,297.4,308.2,2491,27.0,117,10.86,7044.6,0.2254,osp,0,0,0,0,0,0,0,0
108,2025-05-31 00:00:00,PKR-09,L47107,L,298.1,308.7,2139,36.9,253,10.61,8268.2,0.9361,twf,1,1,0,0,0,0,0,0
109,2025-05-31 06:00:00,PKR-09,L47108,L,297.7,304.7,1330,41.7,61,7.01,5806.3,0.7673,hdf,1,0,1,0,0,0,0,0
110,2025-05-31 12:00:00,KLN-01,H47109,H,298.9,309.5,1321,54.8,34,10.55,7586.2,0.3556,tol,0,0,0,0,0,0,0,0
111,2025-05-31 18:00:00,CRS-08,L47110,L,299.5,308.5,1222,53.7,114,9.0,6878.9,0.5085,hdf,1,0,0,0,0,0,0,0
112,2025-06-01 00:00:00,PKR-09,L47111,L,298.9,307.4,2686,28.3,42,8.58,7950.7,0.855,osp,1,0,0,0,0,1,0,0
113,2025-06-01 06:00:00,CRS-08,L47112,L,298.3,308.1,1168,45.0,42,9.81,5509.1,0.0676,hdf,0,0,0,0,0,0,0,0
114,2025-06-01 12:00:00,CRS-08,L47113,L,298.8,309.2,1168,47.4,35,10.41,5794.1,0.0563,tol,0,0,0,0,0,0,0,0
115,2025-06-01 18:00:00,CRS-08,L47114,L,298.7,307.1,1661,34.0,41,8.36,5908.8,0.0072,rnf,0,0,0,0,0,0,0,0
116,2025-06-02 00:00:00,CML-05,M47115,M,298.7,309.4,1168,60.8,83,10.7,7441.2,0.7438,tol,0,0,0,0,0,0,1,0
117,2025-06-02 06:00:00,BLR-03,M47116,M,299.6,310.4,2257,25.3,253,10.76,5970.8,0.8974,twf,1,1,0,0,0,0,0,0
118,2025-06-02 12:00:00,CLC-06,M47117,M,299.1,309.2,1772,29.0,32,10.05,5379.4,0.0041,rnf,0,0,0,0,0,0,0,0
119,2025-06-02 18:00:00,PKR-09,L47118,L,299.2,308.4,1169,52.3,143,9.13,6405.9,0.4022,hdf,1,0,0,0,0,0,0,0
120,2025-06-03 00:00:00,CML-05,M47119,M,299.9,309.0,1227,45.3,65,9.02,5821.8,0.3226,hdf,1,0,0,0,0,0,0,0
121,2025-06-03 06:00:00,CRS-08,L47120,L,300.5,311.5,1168,65.3,148,11.03,7987.8,0.9336,tol,1,0,0,0,1,0,1,0
122,2025-06-03 12:00:00,CML-05,M47121,M,300.3,308.8,2886,16.6,64,8.49,5027.2,0.8997,osp,1,0,0,0,0,1,0,0
123,2025-06-03 18:00:00,CRS-08,L47122,L,300.1,311.2,1238,41.5,21,11.06,5376.8,0.0117,tol,0,0,0,0,0,0,0,0
124,2025-06-04 00:00:00,CRS-08,L47123,L,298.9,308.8,1168,76.4,154,9.83,9342.8,0.9974,tol,1,0,0,1,1,0,1,0
125,2025-06-04 06:00:00,PKR-09,L47124,L,298.3,308.2,2192,30.2,173,9.9,6932.5,0.016,twf,0,0,0,0,0,0,0,0
126,2025-06-04 12:00:00,CRS-08,L47125,L,298.6,306.9,1287,38.2,28,8.29,5155.0,0.6921,hdf,1,0,1,0,0,0,0,0
127,2025-06-04 18:00:00,PKR-09,L47126,L,298.6,308.5,1474,35.6,176,9.85,5489.9,0.0295,twf,0,0,0,0,0,0,0,0
128,2025-06-05 00:00:00,PKR-09,L47127,L,298.7,309.4,1994,35.8,134,10.61,7477.7,0.0052,rnf,0,0,0,0,0,0,0,0
129,2025-06-05 06:00:00,CRS-08,L47128,L,299.5,308.2,2075,35.4,233,8.66,7684.3,0.8712,twf,1,1,0,0,0,0,0,0
130,2025-06-05 12:00:00,PKR-09,L47129,L,298.7,309.2,2380,25.8,83,10.5,6417.1,0.0318,osp,0,0,0,0,0,0,0,0
131,2025-06-05 18:00:00,PKR-09,L47130,L,298.7,308.7,1168,38.8,47,10.09,4743.2,0.0272,hdf,0,0,0,0,0,0,0,0
132,2025-06-06 00:00:00,KLN-01,H47131,H,298.9,308.2,1422,45.7,21,9.36,6803.7,0.0915,hdf,0,0,0,0,0,0,0,0
133,2025-06-06 06:00:00,CRS-08,L47132,L,298.5,309.3,1613,37.6,63,10.85,6355.4,0.0059,rnf,0,0,0,0,0,0,0,0
134,2025-06-06 12:00:00,CRS-08,L47133,L,299.5,301.9,1952,29.0,78,2.42,5928.3,0.0041,rnf,0,0,0,0,0,0,0,0
135,2025-06-06 18:00:00,CRS-08,L47134,L,300.2,310.5,1199,51.3,89,10.35,6444.8,0.1597,tol,0,0,0,0,0,0,0,0
136,2025-06-07 00:00:00,PKR-09,L47135,L,300.3,312.0,1168,48.0,86,11.62,5875.0,0.0595,tol,0,0,0,0,0,0,0,0
137,2025-06-07 06:00:00,KLN-02,H47136,H,301.5,313.0,1768,28.5,73,11.44,5286.2,0.0041,rnf,0,0,0,0,0,0,0,0
138,2025-06-07 12:00:00,PKR-09,L47137,L,300.4,309.3,2117,25.8,221,8.88,5711.9,0.753,twf,1,1,0,0,0,0,0,0
139,2025-06-07 18:00:00,CLC-06,M47138,M,300.4,310.1,2886,12.9,155,9.7,3910.3,0.9176,osp,1,0,0,0,0,1,0,0
140,2025-06-08 00:00:00,CRS-08,L47139,L,300.6,310.0,1797,46.0,139,9.36,8657.5,0.0777,pwf,0,0,0,0,0,0,0,0
141,2025-06-08 06:00:00,PKR-09,L47140,L,300.0,309.7,1579,43.0,91,9.7,7114.8,0.0163,tol,0,0,0,0,0,0,0,0
142,2025-06-08 12:00:00,CRS-08,L47141,L,300.2,310.7,1168,70.1,253,10.54,8572.8,0.9989,osf,1,1,0,0,1,0,1,0
143,2025-06-08 18:00:00,KLN-02,H47142,H,299.4,308.6,2224,36.4,47,9.19,8482.1,0.0207,pwf,0,0,0,0,0,0,0,0
144,2025-06-09 00:00:00,PKR-09,L47143,L,299.9,308.8,2070,30.7,127,8.88,6644.8,0.0043,rnf,0,0,0,0,0,0,0,0
145,2025-06-09 06:00:00,PKR-09,L47144,L,300.6,312.8,1203,62.2,140,12.13,7840.5,0.8244,tol,1,0,0,0,0,0,1,0
146,2025-06-09 12:00:00,CRS-08,L47145,L,300.8,310.7,1999,33.9,133,9.94,7097.3,0.0046,rnf,0,0,0,0,0,0,0,0
147,2025-06-09 18:00:00,PKR-09,L47146,L,299.5,308.1,1168,36.1,158,8.66,4411.9,0.5484,hdf,1,0,1,0,0,0,0,0
148,2025-06-10 00:00:00,PKR-09,L47147,L,298.9,307.5,2379,23.0,89,8.66,5717.8,0.0314,osp,0,0,0,0,0,0,0,0
149,2025-06-10 06:00:00,PKR-09,L47148,L,299.3,310.1,1503,33.7,103,10.78,5308.8,0.0048,rnf,0,0,0,0,0,0,0,0
150,2025-06-10 12:00:00,PKR-09,L47149,L,299.4,309.3,1169,51.1,99,9.94,6255.4,0.1686,tol,0,0,0,0,0,0,0,0
151,2025-06-10 18:00:00,BLR-03,M47150,M,297.6,306.5,1168,47.6,101,8.92,5818.9,0.4038,hdf,0,0,0,0,0,0,0,0
152,2025-06-11 00:00:00,BLR-03,M47151,M,298.6,308.0,1613,48.2,26,9.47,8147.1,0.0654,tol,0,0,0,0,0,0,0,0
153,2025-06-11 06:00:00,PKR-09,L47152,L,298.7,309.6,2886,3.0,145,10.83,906.7,0.99,pwf,1,0,0,1,0,1,0,0
154,2025-06-11 12:00:00,CRS-08,L47153,L,298.3,308.1,1836,48.5,198,9.84,9318.9,0.8984,pwf,1,0,0,1,0,0,0,0
155,2025-06-11 18:00:00,CRS-08,L47154,L,299.0,308.3,1597,38.1,85,9.27,6372.6,0.009,rnf,0,0,0,0,0,0,0,0
156,2025-06-12 00:00:00,FAN-07,M47155,M,298.6,308.2,1168,59.2,39,9.6,7237.0,0.6842,tol,0,0,0,0,0,0,1,0
157,2025-06-12 06:00:00,PKR-09,L47156,L,298.3,307.1,2636,19.7,180,8.8,5441.0,0.7897,osp,1,0,0,0,0,1,0,0
158,2025-06-12 12:00:00,CML-05,M47157,M,298.6,307.7,1660,47.4,24,9.08,8238.4,0.0528,tol,0,0,0,0,0,0,0,0
159,2025-06-12 18:00:00,CLC-06,M47158,M,299.9,309.8,1168,51.6,114,9.9,6314.5,0.1924,tol,1,0,0,0,0,0,0,0
160,2025-06-13 00:00:00,CLC-06,M47159,M,301.0,311.6,2886,4.0,134,10.64,1223.7,0.99,pwf,1,0,0,1,0,1,0,0
161,2025-06-13 06:00:00,CRS-08,L47160,L,301.2,310.6,1836,28.3,164,9.46,5447.7,0.0078,rnf,0,0,0,0,0,0,0,0
162,2025-06-13 12:00:00,KLN-01,H47161,H,301.4,310.4,1168,41.6,21,8.95,5083.1,0.3589,hdf,0,0,0,0,0,0,0,0
163,2025-06-13 18:00:00,CRS-08,L47162,L,301.9,311.6,2191,23.7,119,9.77,5438.1,0.0046,rnf,0,0,0,0,0,0,0,0
164,2025-06-14 00:00:00,PKR-09,L47163,L,300.9,312.0,1168,64.6,253,11.1,7900.0,0.9984,osf,1,1,0,0,1,0,1,0
165,2025-06-14 06:00:00,PKR-09,L47164,L,301.3,310.8,1168,54.0,186,9.48,6609.4,0.8119,osf,1,0,0,0,1,0,0,0
166,2025-06-14 12:00:00,PKR-09,L47165,L,300.7,309.8,1343,45.7,160,9.13,6433.0,0.2357,hdf,0,0,0,0,0,0,0,0
167,2025-06-14 18:00:00,BLR-03,M47166,M,300.9,311.0,1326,38.3,56,10.16,5314.7,0.0204,hdf,0,0,0,0,0,0,0,0
168,2025-06-15 00:00:00,CLC-06,M47167,M,300.7,311.2,1168,62.4,95,10.5,7626.9,0.7996,tol,1,0,0,0,0,0,1,0
169,2025-06-15 06:00:00,PKR-09,L47168,L,301.0,312.6,1193,41.6,90,11.64,5198.1,0.0111,tol,0,0,0,0,0,0,0,0
170,2025-06-15 12:00:00,KLN-01,H47169,H,301.0,311.4,1511,48.5,91,10.35,7671.2,0.0688,tol,0,0,0,0,0,0,0,0
171,2025-06-15 18:00:00,PKR-09,L47170,L,298.9,309.5,1313,33.9,99,10.64,4659.7,0.0095,rnf,0,0,0,0,0,0,0,0
172,2025-06-16 00:00:00,PKR-09,L47171,L,299.1,309.8,1168,56.9,251,10.72,6957.4,0.9948,osf,1,1,0,0,1,0,1,0
173,2025-06-16 06:00:00,PKR-09,L47172,L,299.5,308.4,1168,54.5,43,8.85,6663.6,0.6077,hdf,0,0,0,0,0,0,0,0
174,2025-06-16 12:00:00,KLN-02,H47173,H,299.9,308.9,1168,44.4,227,9.04,5433.1,0.8841,twf,1,1,0,0,0,0,0,0
175,2025-06-16 18:00:00,CRS-08,L47174,L,299.8,308.7,1644,30.7,62,8.92,5290.1,0.0062,rnf,0,0,0,0,0,0,0,0
176,2025-06-17 00:00:00,CRS-08,L47175,L,300.9,309.1,2451,28.8,28,8.18,7386.1,0.1148,osp,1,0,0,0,0,0,0,0
177,2025-06-17 06:00:00,CRS-08,L47176,L,301.1,311.9,1327,36.4,81,10.8,5059.1,0.0075,rnf,0,0,0,0,0,0,0,0
178,2025-06-17 12:00:00,RMM-04,H47177,H,301.3,311.6,1177,40.7,69,10.29,5013.6,0.0201,hdf,0,0,0,0,0,0,0,0
